ID,Description,L1R,L1G,L1B,L2R,L2G,L2B,L3R,L3G,L3B
200,thunderstorm with light rain,254,239,87,120,188,254,51,51,254
201,thunderstorm with rain,254,239,87,40,50,200,40,50,200
202,thunderstorm with heavy rain,254,239,87,40,50,200,20,30,200
210,light thunderstorm,254,239,87,0,188,254,120,188,254
211,thunderstorm,254,239,87,40,50,200,40,50,200
212,heavy thunderstorm,254,239,87,40,50,200,20,30,200
221,ragged thunderstorm,254,239,87,40,50,200,20,30,200
230,thunderstorm with light drizzle,254,239,87,0,188,254,120,188,254
231,thunderstorm with drizzle,254,239,87,0,188,254,120,188,254
232,thunderstorm with heavy drizzle,254,239,87,0,188,254,51,51,254
300,light intensity drizzle,0,188,254,40,180,254,0,188,254
301,drizzle,40,188,254,60,180,254,0,188,254
302,heavy intensity drizzle,55,188,254,80,180,254,0,188,254
310,light intensity drizzle rain,50,188,254,200,230,254,0,188,254
311,drizzle rain,30,188,254,200,230,254,0,188,254
312,heavy intensity drizzle rain,70,188,254,40,50,200,0,188,254
313,shower rain and drizzle,20,188,254,200,230,254,0,188,254
314,heavy shower rain and drizzle,120,188,254,120,188,254,60,188,254
321,shower drizzle,0,150,254,40,150,200,0,188,254
500,light rain,0,188,254,100,180,254,0,188,254
501,moderate rain,0,188,254,110,180,254,0,188,254
502,heavy intensity rain,0,188,254,120,180,254,0,188,254
503,very heavy rain,0,188,254,180,210,254,0,188,254
504,extreme rain,0,188,254,40,50,200,0,188,254
511,freezing rain,0,188,254,180,210,254,0,188,254
520,light intensity shower rain,0,188,254,180,210,254,0,188,254
521,shower rain,0,188,254,180,210,254,0,188,254
522,heavy intensity shower rain,0,188,254,180,210,254,0,188,254
531,ragged shower rain,0,188,254,180,210,254,0,188,254
600,light snow,254,40,40,40,254,40,254,40,40
601,snow,40,254,40,254,40,40,40,254,40
602,heavy snow,254,40,40,40,254,40,254,40,40
611,sleet,40,254,40,254,40,40,40,254,40
612,shower sleet,254,40,40,40,254,40,254,40,40
615,light rain and snow,40,254,40,254,40,40,40,254,40
616,rain and snow,254,40,40,40,254,40,254,40,40
620,light shower snow,40,254,40,254,40,40,40,254,40
621,shower snow,254,40,40,40,254,40,254,40,40
622,heavy shower snow,40,254,40,254,40,40,40,254,40
701,mist,240,240,240,230,230,230,230,230,230
711,smoke,230,230,230,230,230,230,230,230,230
721,haze,230,230,230,230,230,230,230,230,230
731,"sand, dust whirls",254,153,51,254,153,51,254,153,51
741,fog,230,230,230,230,230,230,230,230,230
751,sand,254,153,51,254,153,51,254,153,51
761,dust,120,120,120,120,120,120,120,120,120
762,volcanic ash,120,120,120,120,120,120,120,120,120
771,squalls,230,230,230,254,40,40,230,230,230
781,tornado,230,230,230,254,40,40,230,230,230
800,clear sky,102,254,254,240,254,254,220,254,254
801,few clouds,102,254,254,230,230,230,230,240,240
802,scattered clouds,102,254,254,240,254,254,230,240,230
803,broken clouds,102,254,254,250,240,250,210,240,220
804,overcast clouds,102,254,254,250,240,250,200,200,200
900,tornado,40,40,254,254,40,40,40,40,254
901,tropical storm,50,50,254,254,40,40,50,50,254
902,hurricane,60,60,254,254,40,40,60,60,254
903,cold,35,55,204,200,200,204,0,204,204
904,hot,254,153,51,102,254,254,254,193,78
905,windy,225,225,225,225,225,225,225,225,225
906,hail,40,40,254,102,254,254,102,254,254
951,calm,254,254,254,254,254,254,254,254,254
952,light breeze,245,245,245,245,245,245,245,245,245
953,gentle breeze,235,235,235,235,235,235,235,235,235
954,moderate breeze,235,235,235,235,235,235,235,235,235
955,fresh breeze,245,245,245,245,245,245,245,245,245
956,strong breeze,225,225,225,225,225,225,225,225,225
957,"high wind, near gale",120,120,254,254,40,40,120,120,254
958,gale,100,100,254,254,40,40,100,100,254
959,severe gale,80,80,254,254,40,40,80,80,254
960,storm,60,60,254,254,40,40,60,60,254
961,violent storm,40,40,254,254,40,40,40,40,254
962,hurricane,60,60,254,254,40,40,60,60,254
